sku,allow_large_letter,packed_weight_g,dim_h_mm,dim_w_mm,dim_d_mm
CHK-075-STR-P4,TRUE,360.0,,,
CHK-075-STR-P6,FALSE,520.0,,,
CHK-040-PMC-P4,TRUE,200.0,,,
eBRB-YFF-P10,TRUE,350.0,,,
CHK-040-PMC-P3,TRUE,160.0,,,
CHK-075-ORS-P2,TRUE,200.0,,,
CHK-085-DKM-P6,TRUE,600.0,,,
CHK-040-PMC-P1,TRUE,80.0,,,
CHK-075-STR-P2,TRUE,200.0,,,
CHK-040-PMC-P2,TRUE,120.0,,,
CHK-085-DKM-P4,TRUE,415.0,,,
BRB-030-LIM-P28,FALSE,890.0,,,
COK-150-CCN-P3,FALSE,600.0,,,
COK-128-WHT-P5,FALSE,900.0,,,
CHK-022-TUB-P6,TRUE,182.0,,,
1991,FALSE,,,,
COK-128-BRN-P1,FALSE,260.0,,,
HMP-MED-NRM-P1,FALSE,,,,
BRB-030-LIM-P4,TRUE,170.0,,,
BRB-030-CRN-P12,TRUE,410.0,,,
BRB-030-APC-P12,TRUE,410.0,,,
CHK-022-TUB-P3,TRUE,116.0,,,
COK-130-CHP-P3,FALSE,600.0,,,
313413960201_Coconut_7,FALSE,1000.0,,,
SWT-075-TFE-P1,TRUE,120.0,,,
COK-135-BTR-P5,FALSE,900.0,,,
SAC-360-SCM-P5,FALSE,2150.0,,,
SAC-360-CHK-P5,FALSE,2150.0,,,
SAC-390-MPL-P5,FALSE,2150.0,,,
CHK-085-DKM-P1,TRUE,135.0,,,
GMY-075-BER-P6,TRUE,520.0,,,
eCHK-075-HZS-P2,TRUE,200.0,,,
HMP-BSK-B01,FALSE,,,,
CHK-142-LCB-P3,FALSE,660.0,,,
eBRB-YAP-P10,TRUE,350.0,,,
eBRB-YST-P10,TRUE,350.0,,,
BRB-030-SAF-P6,TRUE,230.0,,,
SND-044-VNL-P12,FALSE,2500.0,,,
SAC-355-STR-P2,FALSE,940.0,,,
CHK-115-DLT-P4,FALSE,760.0,,,
CHK-022-TUB-P4,TRUE,138.0,,,
CHK-075-STR-P10,FALSE,980.0,,,
eBRB-YFF-P12,TRUE,350.0,,,
eBRB-YAC-P12,FALSE,360.0,,,
CHK-022-TUB-P2,TRUE,94.0,,,
CHK-142-LCB-P6,FALSE,1300.0,,,
BRB-030-APC-P28,FALSE,890.0,,,
CHK-075-CPS-P5,TRUE,440.0,,,
SND-044-VNL-P24,FALSE,1100.0,,,
